damage,killed,reward
10,False,-330
10,False,-180
46,False,-108
16,False,-168
18,False,-164
42,False,-126
10,False,-180
62,False,-76
28,False,-214
10,False,-180
10,False,-180
16,False,-168
0.0,False,-200
70,False,-60
10,False,-180
29,False,-142
8,False,-184
23,False,-154
20,False,-160
0.0,False,-200
74,False,-52
33,False,-134
4,False,-192
16,False,-168
80,False,-40
6,False,-188
48,False,-104
20,False,-160
10,False,-180
10,False,-180
8,False,-184
100,False,124
10,False,-180
38,False,-124
24,False,-152
0.0,False,-200
72,False,-56
4,False,-192
18,False,-164
20,False,-160
50,False,-100
0.0,False,-200
26,False,-148
26,False,-148
6,False,-188
20,False,-160
6,False,-188
10,False,-180
14,False,-172
6,False,-188
24,False,-152
10,False,-180
6,False,-188
20,False,-160
0.0,False,-200
14,False,-172
10,False,-180
40,False,-120
10,False,-180
6,False,-188
66,False,-68
34,False,-132
6,False,-188
14,False,-232
10,False,-180
18,False,-164
0.0,False,-200
24,False,-152
10,False,-180
25,False,-150
20,False,-160
6,False,-188
20,False,-160
19,False,-162
8,False,-184
10,False,-200
26,False,-148
20,False,-170
20,False,-160
20,False,-160
10,False,-200
100,False,136
6,False,-188
18,False,-164
18,False,-164
8,False,-184
40,False,-120
8,False,-184
42,False,-116
26,False,-148
20,False,-160
13,False,-174
38,False,-124
20,False,-160
36,False,-128
10,False,-180
58,False,-84
10,False,-180
10,False,-180
20,False,-160
