damage,killed,reward
0.0,False,-200
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
66,False,-68
0.0,False,-200
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
20,False,-160
0.0,False,-200
0.0,False,-200
20,False,-160
64,False,-72
0.0,False,-200
0.0,False,-200
14,False,-192
99,False,129
0.0,False,-200
0.0,False,-200
99,False,154
0.0,False,-200
0.0,False,-200
0.0,False,-200
92,False,-16
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
99,False,126
0.0,False,-200
0.0,False,-260
60,False,-80
0.0,False,-200
8,False,-184
10,False,-180
10,False,-180
0.0,False,-200
10,False,-180
28,False,-144
0.0,False,-210
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
100,False,126
0.0,False,-200
0.0,False,-200
18,False,-164
0.0,False,-200
0.0,False,-200
17,False,-166
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-359
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
98,False,103
10,False,-280
57,False,-86
0.0,False,-200
0.0,False,-200
0.0,False,-220
0.0,False,-200
0.0,False,-200
0.0,False,-200
66,False,-68
0.0,False,-200
0.0,False,-200
67,False,-66
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
93,False,-14
10,False,-180
0.0,False,-200
100,False,148
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-220
0.0,False,-200
49,False,-102
0.0,False,-200
0.0,False,-200
0.0,False,-200
20,False,-160
20,False,-160
0.0,False,-220
0.0,False,-220
0.0,False,-200
0.0,False,-200
10,False,-200
0.0,False,-220
0.0,False,-200
0.0,False,-220
44,False,-112
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
24,False,-152
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
28,False,-144
91,False,-18
10,False,-180
0.0,False,-210
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-220
0.0,False,-200
0.0,False,-200
100,False,142
20,False,-160
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-210
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
34,False,-132
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-220
0.0,False,-200
0.0,False,-200
8,False,-184
80,False,-40
0.0,False,-200
0.0,False,-200
0.0,False,-359
0.0,False,-200
63,False,-74
0.0,False,-200
100,False,122
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
